date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:11	186/186	---M--	200	added ('OK')	text/plain	etag:%224f3d1b24597ce8e50f5fda32668a784e%22	https://imarticus.org/robots.txt		(from )
14:21:13	494432/494432	---MCZ	200	added ('OK')	text/html	etag:W/%22334e98c9c0763e01ae99fb27cb1d43b5%22	https://imarticus.org/generative-ai-for-managers-pwc/	C:/My%20Web%20Sites/qweq/imarticus.org/generative-ai-for-managers-pwc/index.html	(from )
14:21:14	32684/32684	---M--	200	added ('OK')	image/jpeg	etag:W/%22+V24410jc0EqwxBLNU+Zwg==%22	https://cdn.pegasus.imarticus.org/imarticus_2/FACEBOOK-open-graph.jpg	C:/My%20Web%20Sites/qweq/cdn.pegasus.imarticus.org/imarticus_2/FACEBOOK-open-graph.jpg	(from https://imarticus.org/generative-ai-for-managers-pwc/)
14:21:14	295268/295268	---MCZ	200	added ('OK')	text/css	etag:W/%224a00b03c6c00317953e8b728a3ede4b8%22	https://imarticus.org/_next/static/css/d19faeda218eda6a.css	C:/My%20Web%20Sites/qweq/imarticus.org/_next/static/css/d19faeda218eda6a.css	(from https://imarticus.org/generative-ai-for-managers-pwc/)
14:21:14	32713/32713	---MCZ	200	added ('OK')	text/css	etag:W/%22ffb915069cd5ab749affeb9a49109927%22	https://imarticus.org/_next/static/css/57f2fcf9a3b79588.css	C:/My%20Web%20Sites/qweq/imarticus.org/_next/static/css/57f2fcf9a3b79588.css	(from https://imarticus.org/generative-ai-for-managers-pwc/)
14:21:14	49077/49077	---MCZ	200	added ('OK')	text/css	etag:W/%22e558077b8fa8e247482f9be6b6de0dbe%22	https://imarticus.org/_next/static/css/197cf279ae74722c.css	C:/My%20Web%20Sites/qweq/imarticus.org/_next/static/css/197cf279ae74722c.css	(from https://imarticus.org/generative-ai-for-managers-pwc/)
14:21:15	26723/26723	---MCZ	200	added ('OK')	text/css	etag:W/%2249457abf5303b7cd54c74b4f20c481d6%22	https://imarticus.org/_next/static/css/bcb2fc54cd62311e.css	C:/My%20Web%20Sites/qweq/imarticus.org/_next/static/css/bcb2fc54cd62311e.css	(from https://imarticus.org/generative-ai-for-managers-pwc/)
14:21:16	176285/176285	---MCZ	200	added ('OK')	text/css	etag:W/%22822d24afba62fb40c509b511f07a78d9%22	https://imarticus.org/_next/static/css/01c118e9b659a81a.css	C:/My%20Web%20Sites/qweq/imarticus.org/_next/static/css/01c118e9b659a81a.css	(from https://imarticus.org/generative-ai-for-managers-pwc/)
14:21:16	7725/7725	---MCZ	200	added ('OK')	text/javascript	etag:W/%2266054afc85049e22b784e07b77bdafb0%22	https://imarticus.org/_next/static/chunks/webpack-69120d4bc7bc6fcd.js	C:/My%20Web%20Sites/qweq/imarticus.org/_next/static/chunks/webpack-69120d4bc7bc6fcd.js	(from https://imarticus.org/generative-ai-for-managers-pwc/)
14:21:16	140943/140943	---MCZ	200	added ('OK')	text/javascript	etag:W/%22dc9a3191851f37ad4296589c6158ac35%22	https://imarticus.org/_next/static/chunks/framework-0995a3e8436ddc4f.js	C:/My%20Web%20Sites/qweq/imarticus.org/_next/static/chunks/framework-0995a3e8436ddc4f.js	(from https://imarticus.org/generative-ai-for-managers-pwc/)
14:21:17	91381/91381	---MCZ	200	added ('OK')	text/javascript	etag:W/%2279330112775102f91e1010318bae2bd3%22	https://imarticus.org/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	C:/My%20Web%20Sites/qweq/imarticus.org/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	(from https://imarticus.org/generative-ai-for-managers-pwc/)
14:21:17	109895/109895	---MCZ	200	added ('OK')	text/javascript	etag:W/%22af83b3f8f4e4c3c859e34c15b6caf3ab%22	https://imarticus.org/_next/static/chunks/main-b282ca749ebe320e.js	C:/My%20Web%20Sites/qweq/imarticus.org/_next/static/chunks/main-b282ca749ebe320e.js	(from https://imarticus.org/generative-ai-for-managers-pwc/)
14:21:17	297349/297349	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c06c30e00eb7080ad37eebcebd880c4a%22	https://imarticus.org/_next/static/chunks/pages/_app-59884a6890750ad8.js	C:/My%20Web%20Sites/qweq/imarticus.org/_next/static/chunks/pages/_app-59884a6890750ad8.js	(from https://imarticus.org/generative-ai-for-managers-pwc/)
